FID;cod_aldeia;nome_aldeia;cod_ti;cod_municipio;data_cadastro;flag_ativo;nome_cr;the_geom;nommunic;nomuf;undadm_codigo;coord_lat;coord_long
aldeias_pontos.fid--75d69c06_18603bad6f5_-1f75;2694;ACAPURI;101;1301605;26/07/2018;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-66.7397583333 -2.67946944444);Fonte Boa;Amazonas;30202001857;-267946944;-6673975833
aldeias_pontos.fid--75d69c06_18603bad6f5_-1f74;1729;ACAPURI DE CIMA;101;1301605;09/05/2018;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-66.8177861111 -2.67227777778);Fonte Boa;Amazonas;30202001857;-267227778;-6681778611
aldeias_pontos.fid--75d69c06_18603bad6f5_-1f73;3789;ACAPURI DE CIMA;101;1302306;01/04/2019;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-66.816902777778 -2.6722361111111);Jutaí;Amazonas;30202001857;-267223611;-6681690278
aldeias_pontos.fid--75d69c06_18603bad6f5_-1392;3790;PINHEIRO;101;1301605;01/04/2019;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-67.020741666667 -2.7134638888889);Fonte Boa;Amazonas;30202001857;-271346389;-6702074167
aldeias_pontos.fid--75d69c06_18603bad6f5_-1606;1653;MORADA NOVA;201;1302405;25/04/2018;A;COORDENACAO REGIONAL MÉDIO PURUS;POINT (-66.08885 -7.79410277778);Lábrea;Amazonas;30202001878;-779410278;-6608885
aldeias_pontos.fid--75d69c06_18603bad6f5_-1b9f;3545;CASTANHEIRA;401;1303502;25/10/2018;A;COORDENACAO REGIONAL MÉDIO PURUS;POINT (-67.0656527778 -7.63284722222);Pauini;Amazonas;30202001878;-763284722;-6706565278
aldeias_pontos.fid--75d69c06_18603bad6f5_-1658;3544;MIPIRI;401;1303502;25/10/2018;A;COORDENACAO REGIONAL MÉDIO PURUS;POINT (-66.9482277778 -7.66736666667);Pauini;Amazonas;30202001878;-766736667;-6694822778
aldeias_pontos.fid--75d69c06_18603bad6f5_-1558;3548;NOVA ESPERANÇA;401;1303502;25/10/2018;A;COORDENACAO REGIONAL MÉDIO PURUS;POINT (-66.9617527778 -7.59195);Pauini;Amazonas;30202001878;-759195;-6696175278
aldeias_pontos.fid--75d69c06_18603bad6f5_-11a3;3546;SÃO FRANCISCO;401;1303502;25/10/2018;A;COORDENACAO REGIONAL MÉDIO PURUS;POINT (-67.0765416667 -7.63361944444);Pauini;Amazonas;30202001878;-763361944;-6707654167
aldeias_pontos.fid--75d69c06_18603bad6f5_-1f47;3460;Aguas Belas;501;2925501;16/10/2018;A;COORDENACAO REGIONAL DO SUL DA BAHIA;POINT (-39.2541138889 -16.9336805556);Prado;Bahia;30202001990;-1693368056;-3925411389
aldeias_pontos.fid--75d69c06_18603bad6f5_-1f6e;2992;ACONÃ;601;2709202;03/09/2018;A;COORDENACAO REGIONAL NORDESTE I;POINT (-36.9433833333 -10.0702166667);Traipu;Alagoas;30202001969;-1007021667;-3694338333
aldeias_pontos.fid--75d69c06_18603bad6f5_-1a20;2983;GRAMADINHO;701;4204202;03/09/2018;A;COORDENACAO REGIONAL INTERIOR DO SUL;POINT (-52.5628361111 -27.2054);Chapecó;Santa Catarina;30202002088;-272054;-5256283611
aldeias_pontos.fid--75d69c06_18603bad6f5_-130d;2984;PRAIA BONITA;701;4204202;03/09/2018;A;COORDENACAO REGIONAL INTERIOR DO SUL;POINT (-52.5655416667 -27.2283361111);Chapecó;Santa Catarina;30202002088;-2722833611;-5256554167
aldeias_pontos.fid--75d69c06_18603bad6f5_-18c4;3072;KAAJARY;801;5000609;05/09/2018;A;COORDENACAO REGIONAL DE PONTA PORA;POINT (-55.2138888889 -23.1805555556);Amambai;Mato Grosso do Sul;30202002018;-2318055556;-5521388889
aldeias_pontos.fid--75d69c06_18603bad6f5_-1779;3073;LIMÃO VERDE;801;5000609;05/09/2018;A;COORDENACAO REGIONAL DE PONTA PORA;POINT (-55.2077416667 -23.1869666667);Amambai;Mato Grosso do Sul;30202002018;-2318696667;-5520774167
aldeias_pontos.fid--75d69c06_18603bad6f5_-1ea5;4388;Aldeia Velha;901;2925303;21/06/2021;A;COORDENACAO REGIONAL DO SUL DA BAHIA;POINT (-39.0856472222 -16.4771805556);Porto Seguro;Bahia;30202001990;-1647718056;-3908564722
aldeias_pontos.fid--75d69c06_18603bad6f5_-1f01;4282;Aldeia Iwyter;1001;1506559;29/10/2020;A;COORDENACAO REGIONAL DO BAIXO TOCANTINS;POINT (-46.9866938889 -1.86195694444);Santa Luzia do Pará;Pará;30202001906;-186195694;-4698669389
aldeias_pontos.fid--75d69c06_18603bad6f5_-1e5e;3720;Anoirá;1001;1505502;26/03/2019;A;COORDENACAO REGIONAL DO BAIXO TOCANTINS;POINT (-46.535075 -2.62106666667);Paragominas;Pará;30202001906;-262106667;-46535075
aldeias_pontos.fid--75d69c06_18603bad6f5_-1e24;3712;Araruna;1001;1505502;26/03/2019;A;COORDENACAO REGIONAL DO BAIXO TOCANTINS;POINT (-46.635 -2.67392777778);Paragominas;Pará;30202001906;-267392778;-46635
aldeias_pontos.fid--75d69c06_18603bad6f5_-1d64;3718;Bate Vento;1001;1505502;26/03/2019;A;COORDENACAO REGIONAL DO BAIXO TOCANTINS;POINT (-46.4829083333 -2.53329166667);Paragominas;Pará;30202001906;-253329167;-4648290833
aldeias_pontos.fid--75d69c06_18603bad6f5_-1c28;3147;Cajueiro;1001;1505502;06/09/2018;A;COORDENACAO REGIONAL DO BAIXO TOCANTINS;POINT (-46.6964833333 -2.74296666667);Paragominas;Pará;30202001906;-274296667;-4669648333
